timestamp,pitch_hz,confidence,voiced
40.1200,255.41,0.6130,true
40.1360,253.04,0.6328,true
40.1520,252.14,0.6919,true
40.1680,252.44,0.6695,true
40.1840,257.30,0.7679,true
40.2000,262.57,0.8391,true
40.2160,263.17,0.8242,true
40.2320,262.50,0.7852,true
40.2480,262.23,0.6012,true
40.2640,270.99,0.3019,false
40.2800,602.90,0.1455,false
40.2960,609.24,0.1715,false
40.3120,90.80,0.3880,false
40.3280,96.28,0.4564,false
40.3440,97.98,0.4760,false
40.3600,97.22,0.3980,false
40.3760,1361.43,0.1878,false
40.3920,417.30,0.2988,false
40.4080,407.18,0.4634,false
40.4240,390.69,0.5595,false
40.4400,372.07,0.5459,false
40.4560,352.63,0.4903,false
40.4720,311.21,0.3203,false
40.4880,298.65,0.4746,false
40.5040,295.19,0.6547,true
40.5200,293.69,0.7249,true
40.5360,294.62,0.9089,true
40.5520,294.03,0.9837,true
40.5680,293.30,0.9928,true
40.5840,292.87,0.9829,true
40.6000,291.28,0.9490,true
40.6160,289.61,0.9107,true
40.6320,289.72,0.9456,true
40.6480,291.10,0.9770,true
40.6640,290.97,0.9910,true
40.6800,289.92,0.9965,true
40.6960,289.45,0.9992,true
40.7120,290.14,0.9996,true
40.7280,290.42,0.9992,true
40.7440,290.50,0.9993,true
40.7600,289.31,0.9991,true
40.7760,288.68,0.9985,true
40.7920,291.23,0.9989,true
40.8080,292.44,0.9993,true
40.8240,292.94,0.9995,true
40.8400,293.02,0.9995,true
40.8560,293.03,0.9994,true
40.8720,293.02,0.9992,true
40.8880,293.02,0.9983,true
40.9040,293.01,0.9961,true
40.9200,293.01,0.9956,true
40.9360,293.01,0.9978,true
40.9520,293.02,0.9996,true
40.9680,293.04,0.9999,true
40.9840,293.12,0.9999,true
41.0000,293.38,0.9999,true
41.0160,293.42,0.9999,true
41.0320,293.15,0.9999,true
41.0480,293.05,0.9999,true
41.0640,293.03,0.9998,true
41.0800,293.03,0.9995,true
41.0960,293.03,0.9989,true
41.1120,293.03,0.9991,true
41.1280,293.03,0.9997,true
41.1440,293.03,0.9999,true
41.1600,293.03,0.9999,true
41.1760,293.03,0.9999,true
41.1920,293.03,0.9998,true
41.2080,293.03,0.9996,true
41.2240,293.03,0.9992,true
41.2400,293.03,0.9995,true
41.2560,293.03,0.9997,true
41.2720,293.06,0.9996,true
41.2880,293.09,0.9990,true
41.3040,293.11,0.9963,true
41.3200,293.28,0.9896,true
41.3360,293.90,0.9845,true
41.3520,294.55,0.9642,true
41.3680,298.00,0.8679,true
41.3840,349.15,0.7311,true
41.4000,354.66,0.9802,true
41.4160,352.76,0.9931,true
41.4320,343.51,0.9982,true
41.4480,339.48,0.9995,true
41.4640,335.43,0.9998,true
41.4800,331.26,0.9998,true
41.4960,328.26,0.9999,true
41.5120,328.04,0.9999,true
41.5280,328.20,0.9999,true
41.5440,328.35,0.9999,true
41.5600,328.43,1.0000,true
41.5760,328.44,1.0000,true
41.5920,328.37,1.0000,true
41.6080,328.30,1.0000,true
41.6240,328.52,1.0000,true
41.6400,329.08,0.9999,true
41.6560,331.43,0.9999,true
41.6720,334.20,0.9999,true
41.6880,334.23,0.9998,true
41.7040,331.80,0.9976,true
41.7200,319.09,0.9768,true
41.7360,301.68,0.9105,true
41.7520,290.52,0.8770,true
41.7680,310.38,0.4248,false
41.7840,320.65,0.4034,false
41.8000,318.41,0.4796,false
41.8160,311.78,0.6798,true
41.8320,298.79,0.9152,true
41.8480,302.56,0.9787,true
41.8640,306.20,0.9941,true
41.8800,306.65,0.9954,true
41.8960,303.70,0.9951,true
41.9120,300.06,0.9977,true
41.9280,297.96,0.9992,true
41.9440,296.13,0.9995,true
41.9600,295.14,0.9994,true
41.9760,294.02,0.9990,true
41.9920,293.24,0.9988,true
42.0080,293.12,0.9983,true
42.0240,293.12,0.9988,true
42.0400,293.11,0.9997,true
42.0560,293.08,0.9999,true
42.0720,293.06,0.9999,true
42.0880,293.04,0.9999,true
42.1040,293.03,0.9998,true
42.1200,293.03,0.9994,true
42.1360,293.04,0.9991,true
42.1520,293.15,0.9992,true
42.1680,293.86,0.9997,true
42.1840,295.11,0.9998,true
42.2000,295.09,0.9995,true
42.2160,293.59,0.9962,true
42.2320,290.50,0.9699,true
42.2480,280.19,0.8422,true
42.2640,274.47,0.7060,true
42.2800,270.30,0.6671,true
42.2960,255.43,0.8470,true
42.3120,257.67,0.8574,true
42.3280,264.96,0.9074,true
42.3440,263.89,0.9887,true
42.3600,261.95,0.9980,true
42.3760,260.90,0.9994,true
42.3920,260.30,0.9998,true
42.4080,260.38,0.9999,true
42.4240,260.75,0.9999,true
42.4400,260.92,0.9999,true
42.4560,260.88,1.0000,true
42.4720,260.00,1.0000,true
42.4880,257.91,1.0000,true
42.5040,256.91,1.0000,true
42.5200,256.76,1.0000,true
42.5360,257.13,1.0000,true
42.5520,258.17,1.0000,true
42.5680,260.59,1.0000,true
42.5840,261.30,1.0000,true
42.6000,261.62,0.9998,true
42.6160,263.05,0.9993,true
42.6320,265.16,0.9989,true
42.6480,266.76,0.9990,true
42.6640,269.84,0.9988,true
42.6800,271.40,0.9981,true
42.6960,271.66,0.9914,true
42.7120,271.39,0.9831,true
42.7280,272.90,0.9786,true
42.7440,276.63,0.9741,true
42.7600,284.12,0.9394,true
42.7760,329.29,0.8291,true
42.7920,345.01,0.9839,true
42.8080,345.60,0.9946,true
42.8240,343.39,0.9973,true
42.8400,339.52,0.9988,true
42.8560,333.04,0.9993,true
42.8720,325.56,0.9996,true
42.8880,322.42,0.9998,true
